,Parameter name,Order,Dependency,Relation,Explanation,Comments,Favorite,Value,Expression,Previous parameter name
,right_side_door,201,Input,Helper,Whether there is a door adjacent to the left side of the stile,"201) Input - Helper
    Whether there is a door adjacent to the left side of the stile",Yes,1,#N/A,
,RD_hinging_right,202,Input,Helper,"For the door adjacent to the LEFT side of the stile:
whether it's hinges are on the right side of the door","202) Input - Helper
    For the door adjacent to the LEFT side of the stile:
whether it's hinges are on the right side of the door",Yes,1,#N/A,
,RD_swinging_out,203,Input,Helper,"For the door adjacent to the LEFT side of the stile:
whether it is an outswing door","203) Input - Helper
    For the door adjacent to the LEFT side of the stile:
whether it is an outswing door",Yes,1,#N/A,
,RD_height,204,Input,Helper,"Height of the door adjacent to the RIGHT side of the stile
(when viewed from outside the stall)","204) Input - Helper
    Height of the door adjacent to the RIGHT side of the stile
(when viewed from outside the stall)",Yes,73.125,#N/A,
,RD_floor_clearance,205,Input,Helper,"Floor clearance of the door adjacent to the RIGHT side of the stile
(when viewed from outside the stall)","205) Input - Helper
    Floor clearance of the door adjacent to the RIGHT side of the stile
(when viewed from outside the stall)",Yes,4.5,#N/A,
,RD_ceiling_clearance,206,Input,Helper,"Ceiling clearance of the door adjacent to the LEFT side of the stile
(when viewed from outside the stall)","206) Input - Helper
    Ceiling clearance of the door adjacent to the LEFT side of the stile
(when viewed from outside the stall)",Yes,45.125,#N/A,
,RD_bottom_notching_actual_y_dist,207,Derived,Model,Actual height of notching cutout from bottom of door for any floor clearance less than: one inch plus the height of the standard bottom notch,"207) Derived - Model
    Actual height of notching cutout from bottom of door for any floor clearance less than: one inch plus the height of the standard bottom notch",No,-0.19,= (door_bottom_notching_standard_y_dist + 1) - RD_floor_clearance,
,RD_top_notching_y_dist,208,Derived,Helper,Distance between top-most hole and top of door,"208) Derived - Helper
    Distance between top-most hole and top of door",Yes,0,"= IF( RD_ceiling_clearance < ( shoe_height + shoe_door_top_notch_gap ),
      ( shoe_height + shoe_door_top_notch_gap ) - RD_ceiling_clearance,
      0 )",
,RD_inter_hinge_gap,209,Derived,Helper,Distance between top_hinge_holes of adjacent hinges on the door adjacent to the RIGHT side of the stile,"209) Derived - Helper
    Distance between top_hinge_holes of adjacent hinges on the door adjacent to the RIGHT side of the stile",No,22.728,=(RD_height-(RD_top_margin)-(RD_bottom_margin+hinge_hole_space))/3,
,RD_top_margin,210,Derived,Helper,Distance between top-most hole and top of door,"210) Derived - Helper
    Distance between top-most hole and top of door",No,1.72,= 1.72 + RD_top_notching_y_dist,
,RD_bottom_margin,211,Derived,Helper,Distance between bottom-most hole and bottom of door on the door adjacent to the RIGHT side of the stile,"211) Derived - Helper
    Distance between bottom-most hole and bottom of door on the door adjacent to the RIGHT side of the stile",No,1.72,"=1.72+IF(RD_bottom_notching_actual_y_dist>0,RD_bottom_notching_actual_y_dist,0)",
,RD_mid_top_hinge_offset,212,Derived,Helper,"For the door adjacent to the RIGHT side of the stile:
An offset applying to the mid-top hinge when the floor clearance is 1"" the door hinges on a stile","212) Derived - Helper
    For the door adjacent to the RIGHT side of the stile:
An offset applying to the mid-top hinge when the floor clearance is 1"" the door hinges on a stile",No,0,"= -1 * 0.823 * IF(RD_floor_clearance = 1, 1, 0)",
,RD_mid_bottom_hinge_offset,213,Derived,Helper,"For the door adjacent to the RIGHT side of the stile:
An offset applying to the mid-bottom hinge when the floor clearance is 1"" the door hinges on a stile","213) Derived - Helper
    For the door adjacent to the RIGHT side of the stile:
An offset applying to the mid-bottom hinge when the floor clearance is 1"" the door hinges on a stile",No,0,"= 2 * 0.823 * IF(RD_floor_clearance = 1, 1, 0)",
,RD_stile_hole_modifier,214,Derived,Helper,"For the door adjacent to the RIGHT side of the stile:
Adjustment factor convert door y coordinates to stile y coordinates","214) Derived - Helper
    For the door adjacent to the RIGHT side of the stile:
Adjustment factor convert door y coordinates to stile y coordinates",No,30.9375,=component_height-(RD_height+RD_floor_clearance-leveling_gap),
,,,,,,,,,,
Routing and drilling - RIGHT side,,,,,,,,,,
,right_interior_rabbeting,211,Derived,Model,Whether rabbeting is present the interior right edge of the stile,"211) Derived - Model
    Whether rabbeting is present the interior right edge of the stile",No,0,"=IF(AND(right_side_door=1,RD_swinging_out=0),1,0)",
,right_exterior_rabbeting,212,Derived,Model,Whether rabbeting is present the exterior right edge of the stile,"212) Derived - Model
    Whether rabbeting is present the exterior right edge of the stile",No,1,"=IF(AND(right_side_door=1,RD_swinging_out=1),1,0)",
,right_rabbeting_activation_offset,213,Fixed,Helper,"An offset that repositions a void relative to the component, allowing the void to cut into the panel at the specified location and create right rabbeting on the model","213) Fixed - Helper
    An offset that repositions a void relative to the component, allowing the void to cut into the panel at the specified location and create right rabbeting on the model",No,-0.125,"=IF(
     right_interior_rabbeting = 1,
     (1/8),
     IF(
          right_exterior_rabbeting = 1,
          -(1/8),
          component_thickness
        )
    )",
,RD_full_rabbeting_top,214,Derived,Helper,Whether rabbeting on the stile's right side extends all the way to the top,"214) Derived - Helper
    Whether rabbeting on the stile's right side extends all the way to the top",No,0,"=IF(
     AND( RD_ceiling_clearance < through_rabbeting_threshold, right_side_door = 1),
     1,
     0
   )",
,RD_full_rabbeting_bottom,215,Derived,Helper,Whether rabbeting on the stile's right side extends all the way to the bottom,"215) Derived - Helper
    Whether rabbeting on the stile's right side extends all the way to the bottom",No,1,"=IF(
     AND(RD_floor_clearance < through_rabbeting_threshold, right_side_door = 1),
     1,
     0
   )",
,right_rabbeting_top,216,Derived,Model,Distance from the bottom edge of the stile's compact laminate to the top of rabbeting on the right side of the stile. If the distance between the top of the door and the top of the stile's compact laminate is small then the rabbeting starts at the beginning of the stile with no radius cut in.,"216) Derived - Model
    Distance from the bottom edge of the stile's compact laminate to the top of rabbeting on the right side of the stile. If the distance between the top of the door and the top of the stile's compact laminate is small then the rabbeting starts at the beginning of the stile with no radius cut in.",No,76.5735,"=IF(
  RD_ceiling_clearance < through_rabbeting_threshold,
  component_net_height + 2,
  RD_floor_clearance + RD_height - (leveling_bar_additional_height + leveling_gap) + rabbeting_start_above_door
)",
,right_rabbeting_bottom,217,Derived,Model,"Distance from the bottom edge of the stile's compact laminate to the bottom of rabbeting on the right side of the stile. If the door_floor_clearance is small, then the rabbeting goes all the way to the end of the stile with no radius cut in.","217) Derived - Model
    Distance from the bottom edge of the stile's compact laminate to the bottom of rabbeting on the right side of the stile. If the door_floor_clearance is small, then the rabbeting goes all the way to the end of the stile with no radius cut in.",No,-2,"=IF(
    RD_floor_clearance < through_rabbeting_threshold,
    -2,
    component_net_height - (RD_stile_hole_modifier + RD_height + rabbeting_stop_below_door)
)",
